https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1599800400000,2020-09-11 05:00:00,BTC/USDT,10224.87,10286.97,10217.69,10285.09,5668.862,58143105.71183,21819
1599796800000,2020-09-11 04:00:00,BTC/USDT,10222.35,10265.00,10200.80,10224.87,8525.048,87260948.06787,27744
1599793200000,2020-09-11 03:00:00,BTC/USDT,10259.96,10274.31,10212.00,10221.70,8812.283,90253739.61719,29845
1599789600000,2020-09-11 02:00:00,BTC/USDT,10305.47,10315.67,10251.00,10259.96,7547.185,77587252.72896,24685
1599786000000,2020-09-11 01:00:00,BTC/USDT,10337.97,10350.00,10293.77,10305.47,6213.468,64113658.36463,23911
1599782400000,2020-09-11 00:00:00,BTC/USDT,10335.91,10380.50,10333.10,10337.96,4741.171,49124450.34221,20850
1599778800000,2020-09-10 23:00:00,BTC/USDT,10341.49,10348.00,10307.83,10335.91,3166.094,32697168.50099,20112
1599775200000,2020-09-10 22:00:00,BTC/USDT,10340.80,10356.28,10322.38,10341.48,3378.716,34942159.65919,19261
1599771600000,2020-09-10 21:00:00,BTC/USDT,10296.53,10352.00,10286.70,10340.80,3642.912,37587194.39412,18262
1599768000000,2020-09-10 20:00:00,BTC/USDT,10269.88,10331.00,10262.95,10296.52,5763.987,59411598.45784,22579
1599764400000,2020-09-10 19:00:00,BTC/USDT,10283.35,10299.99,10250.01,10269.36,7404.362,76073631.96732,25057
1599760800000,2020-09-10 18:00:00,BTC/USDT,10349.92,10374.00,10254.07,10283.53,11967.159,123239438.03552,34725
1599757200000,2020-09-10 17:00:00,BTC/USDT,10336.39,10384.56,10332.70,10349.92,5190.383,53780556.79272,23583
1599753600000,2020-09-10 16:00:00,BTC/USDT,10414.51,10443.51,10303.50,10336.39,13132.558,135970187.29206,44682
1599750000000,2020-09-10 15:00:00,BTC/USDT,10365.01,10433.00,10350.00,10414.51,10205.603,105997932.70286,33573
1599746400000,2020-09-10 14:00:00,BTC/USDT,10435.57,10484.60,10357.08,10364.85,18167.109,189475926.43107,49775
1599742800000,2020-09-10 13:00:00,BTC/USDT,10361.11,10456.81,10352.66,10435.57,13487.422,140266529.03405,41835
1599739200000,2020-09-10 12:00:00,BTC/USDT,10293.11,10376.52,10286.34,10361.11,8812.767,91102611.69559,32585
1599735600000,2020-09-10 11:00:00,BTC/USDT,10268.33,10312.74,10256.16,10293.12,3758.239,38660075.32682,19829
1599732000000,2020-09-10 10:00:00,BTC/USDT,10277.60,10322.00,10243.63,10268.33,7218.143,74236814.67079,28516
1599728400000,2020-09-10 09:00:00,BTC/USDT,10267.32,10283.89,10233.00,10277.60,6347.733,65137982.03492,24731
1599724800000,2020-09-10 08:00:00,BTC/USDT,10274.19,10295.00,10252.00,10267.32,6809.880,69969047.30775,23886
1599721200000,2020-09-10 07:00:00,BTC/USDT,10328.40,10343.10,10251.48,10274.01,8368.012,86149580.94815,26273
1599717600000,2020-09-10 06:00:00,BTC/USDT,10374.51,10383.54,10294.81,10327.49,7626.932,78875217.92053,25472
1599714000000,2020-09-10 05:00:00,BTC/USDT,10381.44,10397.23,10356.54,10374.51,3935.323,40832532.90645,20474
1599710400000,2020-09-10 04:00:00,BTC/USDT,10372.36,10421.03,10346.23,10381.96,5398.770,56063841.71877,24636
1599706800000,2020-09-10 03:00:00,BTC/USDT,10365.00,10384.93,10342.63,10372.36,4613.292,47812479.29300,21915
1599703200000,2020-09-10 02:00:00,BTC/USDT,10382.12,10408.00,10360.92,10365.00,6369.583,66118863.12957,26362
1599699600000,2020-09-10 01:00:00,BTC/USDT,10275.00,10417.07,10255.94,10382.13,11992.895,124185592.33140,43158
1599696000000,2020-09-10 00:00:00,BTC/USDT,10219.29,10328.12,10211.67,10275.01,10909.999,112271794.46698,36741
1599692400000,2020-09-09 23:00:00,BTC/USDT,10274.80,10286.00,10176.00,10219.29,8577.376,87641604.73492,32924
1599688800000,2020-09-09 22:00:00,BTC/USDT,10235.16,10277.24,10223.63,10274.80,3107.287,31868436.16959,21035
1599685200000,2020-09-09 21:00:00,BTC/USDT,10252.24,10278.30,10227.09,10235.16,4271.331,43790618.37731,20737
1599681600000,2020-09-09 20:00:00,BTC/USDT,10277.91,10297.94,10251.11,10252.57,3654.649,37545479.71099,19115
1599678000000,2020-09-09 19:00:00,BTC/USDT,10325.00,10346.00,10276.00,10277.91,5726.743,59040407.72328,24754
1599674400000,2020-09-09 18:00:00,BTC/USDT,10268.09,10338.00,10252.87,10324.99,7952.003,81916602.93028,32288
1599670800000,2020-09-09 17:00:00,BTC/USDT,10241.37,10269.99,10213.55,10268.06,3760.240,38535405.19912,20446
1599667200000,2020-09-09 16:00:00,BTC/USDT,10246.00,10269.02,10200.00,10241.36,6081.148,62197817.28463,28130
1599663600000,2020-09-09 15:00:00,BTC/USDT,10235.00,10279.82,10235.00,10246.00,6105.877,62657283.45075,26475
1599660000000,2020-09-09 14:00:00,BTC/USDT,10216.45,10261.61,10189.01,10235.00,8517.116,87141894.53493,30016
1599656400000,2020-09-09 13:00:00,BTC/USDT,10192.52,10263.47,10192.50,10216.47,8356.093,85480865.25943,32728
1599652800000,2020-09-09 12:00:00,BTC/USDT,10224.69,10264.31,10168.18,10192.51,7755.653,79181825.92976,32754
1599649200000,2020-09-09 11:00:00,BTC/USDT,10175.02,10288.00,10175.02,10224.42,9825.578,100543408.83951,37985
1599645600000,2020-09-09 10:00:00,BTC/USDT,10200.99,10209.28,10154.00,10175.01,4316.543,43922957.85609,22671
1599642000000,2020-09-09 09:00:00,BTC/USDT,10157.96,10207.47,10151.00,10200.99,4906.221,49973934.90842,22878
1599638400000,2020-09-09 08:00:00,BTC/USDT,10191.92,10208.06,10143.00,10157.96,5679.255,57771696.15656,26134
1599634800000,2020-09-09 07:00:00,BTC/USDT,10098.23,10200.00,10098.23,10191.96,8780.878,89193278.94089,34436
1599631200000,2020-09-09 06:00:00,BTC/USDT,10092.38,10119.25,10065.00,10097.98,4876.238,49186169.21856,22564
1599627600000,2020-09-09 05:00:00,BTC/USDT,10074.64,10135.98,10074.64,10092.38,6470.765,65406908.41188,26512
1599624000000,2020-09-09 04:00:00,BTC/USDT,10028.25,10109.01,10008.00,10074.64,6276.076,63140434.50923,27167
1599620400000,2020-09-09 03:00:00,BTC/USDT,9996.43,10036.42,9981.13,10028.24,5319.844,53238461.24758,22577
1599616800000,2020-09-09 02:00:00,BTC/USDT,10122.08,10129.97,9990.00,9996.43,10174.860,102143655.67370,32335
1599613200000,2020-09-09 01:00:00,BTC/USDT,10118.68,10139.97,10083.35,10122.07,4553.760,46021053.23969,19825
1599609600000,2020-09-09 00:00:00,BTC/USDT,10130.00,10154.23,10077.58,10118.68,6177.155,62523439.70849,24396
1599606000000,2020-09-08 23:00:00,BTC/USDT,10109.18,10162.78,10077.37,10129.02,9870.029,99842519.22733,32973
1599602400000,2020-09-08 22:00:00,BTC/USDT,10031.36,10241.38,9842.01,10109.53,48163.475,482737459.79245,146276
1599598800000,2020-09-08 21:00:00,BTC/USDT,10018.40,10056.59,9981.00,10031.36,7154.128,71623419.97124,29606
1599595200000,2020-09-08 20:00:00,BTC/USDT,9994.00,10068.03,9980.24,10018.39,6412.654,64275940.44425,29501
1599591600000,2020-09-08 19:00:00,BTC/USDT,9985.01,10070.85,9957.32,9994.00,13047.439,130626219.71919,45720
1599588000000,2020-09-08 18:00:00,BTC/USDT,10161.51,10170.78,9938.00,9985.62,18789.838,188443122.65684,56709
1599584400000,2020-09-08 17:00:00,BTC/USDT,10150.35,10165.00,10111.05,10161.51,4515.118,45766513.99650,26304
1599580800000,2020-09-08 16:00:00,BTC/USDT,10102.36,10175.00,10092.00,10150.35,7114.094,72127758.09726,33619
1599577200000,2020-09-08 15:00:00,BTC/USDT,10100.61,10155.99,10071.00,10101.92,10818.214,109397377.06975,43984
1599573600000,2020-09-08 14:00:00,BTC/USDT,9996.75,10158.81,9985.58,10100.74,25211.601,254385060.16082,78688
1599570000000,2020-09-08 13:00:00,BTC/USDT,10010.41,10033.04,9929.77,9998.26,25360.354,253016959.98842,82817
1599566400000,2020-09-08 12:00:00,BTC/USDT,9987.14,10059.02,9923.08,10010.41,21473.231,214537064.45326,66827
1599562800000,2020-09-08 11:00:00,BTC/USDT,10049.38,10080.00,9933.00,9987.07,17935.668,179309533.60763,66939
1599559200000,2020-09-08 10:00:00,BTC/USDT,10017.64,10078.00,9976.11,10049.33,21569.925,216400670.54415,80999
1599555600000,2020-09-08 09:00:00,BTC/USDT,10180.14,10207.99,10012.80,10018.33,16983.045,171806275.18912,63795
1599552000000,2020-09-08 08:00:00,BTC/USDT,10270.81,10343.40,10160.11,10180.30,14469.582,148002069.33985,60735
1599548400000,2020-09-08 07:00:00,BTC/USDT,10310.22,10316.41,10243.32,10269.90,5404.715,55557392.27068,29229
1599544800000,2020-09-08 06:00:00,BTC/USDT,10234.59,10319.00,10230.00,10310.22,5895.845,60579384.28282,25362
