https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1602842400000,2020-10-16 10:00:00,ETH/USDT,363.27,366.95,362.93,364.64,72759.230,26567870.09844,26450
1602838800000,2020-10-16 09:00:00,ETH/USDT,368.32,368.81,360.53,363.28,246784.103,89856291.70245,54597
1602835200000,2020-10-16 08:00:00,ETH/USDT,368.59,371.10,367.20,368.32,85322.437,31504440.83505,28881
1602831600000,2020-10-16 07:00:00,ETH/USDT,370.08,370.40,368.60,368.60,40801.104,15081731.35629,19252
1602828000000,2020-10-16 06:00:00,ETH/USDT,370.00,371.00,368.71,370.08,41258.010,15254669.98156,22053
1602824400000,2020-10-16 05:00:00,ETH/USDT,368.93,372.17,367.82,370.00,120802.436,44724370.78049,33659
1602820800000,2020-10-16 04:00:00,ETH/USDT,378.04,378.09,364.33,368.93,457024.633,168824937.77172,85986
1602817200000,2020-10-16 03:00:00,ETH/USDT,378.47,379.15,376.90,378.03,30142.126,11386288.37284,15944
1602813600000,2020-10-16 02:00:00,ETH/USDT,379.69,379.92,378.24,378.46,26553.020,10061157.85428,15795
1602810000000,2020-10-16 01:00:00,ETH/USDT,377.95,379.91,377.90,379.68,42198.470,16003603.85729,19186
1602806400000,2020-10-16 00:00:00,ETH/USDT,377.63,378.19,375.68,377.95,38770.687,14617200.32304,17868
1602802800000,2020-10-15 23:00:00,ETH/USDT,377.25,377.97,376.23,377.63,31273.568,11796228.68545,17091
1602799200000,2020-10-15 22:00:00,ETH/USDT,378.01,378.77,376.53,377.25,27883.345,10533809.72945,15924
1602795600000,2020-10-15 21:00:00,ETH/USDT,380.25,380.65,377.30,378.00,47336.973,17901479.04299,21116
1602792000000,2020-10-15 20:00:00,ETH/USDT,378.38,382.60,378.20,380.25,93470.217,35541360.86053,29623
1602788400000,2020-10-15 19:00:00,ETH/USDT,376.61,378.94,376.35,378.39,54874.287,20730312.10800,21865
1602784800000,2020-10-15 18:00:00,ETH/USDT,378.07,378.76,376.50,376.61,37327.241,14096917.97425,18815
1602781200000,2020-10-15 17:00:00,ETH/USDT,374.91,378.95,374.83,378.08,66371.472,25033799.00270,23138
